fwd_index,rev_index,Forward_Primer_2ndRd_Sequence,Reverse_Primer_2ndRd_Sequence,Sample
S5_N10,N7_N10,,,
S5_N11,N7_N11,,,
S5_N12,N7_N12,,,
S5_N13,N7_N13,,,
S5_N14,N7_N14,,,
S5_N15,N7_N15,,,
S5_N16,N7_N16,,,
S5_N17,N7_N17,,,
S5_N18,N7_N18,,,
S5_N19,N7_N19,,,
S5_N20,N7_N20,,,
S5_N21,N7_N21,,,
S5_N22,N7_N22,,,
S5_N23,N7_N23,,,
S5_N24,N7_N24,,,
S5_O1,N7_O1,,,
S5_O2,N7_O2,,,
S5_O3,N7_O3,,,
S5_O4,N7_O4,,,
S5_O5,N7_O5,,,
S5_O6,N7_O6,,,
S5_O7,N7_O7,,,
S5_O8,N7_O8,,,
S5_O9,N7_O9,,,
S5_O10,N7_O10,,,
S5_O11,N7_O11,,,
S5_O12,N7_O12,,,
S5_O13,N7_O13,,,
S5_O14,N7_O14,,,
S5_O15,N7_O15,,,
S5_O16,N7_O16,,,
S5_O17,N7_O17,,,
S5_O18,N7_O18,,,
S5_O19,N7_O19,,,
S5_O20,N7_O20,,,
S5_O21,N7_O21,,,
S5_O22,N7_O22,,,
S5_O23,N7_O23,,,
S5_O24,N7_O24,,,
S5_P1,N7_P1,,,
S5_P2,N7_P2,,,
S5_P3,N7_P3,,,
S5_P4,N7_P4,,,
S5_P5,N7_P5,,,
S5_P6,N7_P6,,,
S5_P7,N7_P7,,,
S5_P8,N7_P8,,,
S5_P9,N7_P9,,,
S5_P10,N7_P10,,,
S5_P11,N7_P11,,,
S5_P12,N7_P12,,,
S5_P13,N7_P13,,,
S5_P14,N7_P14,,,
S5_P15,N7_P15,,,
S5_P16,N7_P16,,,
S5_P17,N7_P17,,,
S5_P18,N7_P18,,,
S5_P19,N7_P19,,,
S5_P20,N7_P20,,,
S5_P21,N7_P21,,,
S5_P22,N7_P22,,,
S5_P23,N7_P23,,,
S5_P24,N7_P24,,,
